comment,mbti_type
definitely lol know piss everyone assumes sweet guy gay great gaydar dating guy dated guy didnt fit macho guy stereotype parent field day making fun dating gay guy even day mom started talking finally figured guy like arent good dating cause guy pretty manly pissed know entirely happy maybe sweet sensual guy arent good maybe im pretty tired inflicting opinion hm maybe put venting thread laughing,INFP
random observation last week dont like mum much seems pay attention surface thing shallow thing expects seems like see youve worked really hard life try wasnt cool normal feminine whatever really want say im sure take mum advice word dating life heart view important view important nowhere near thing shes mum mean shes important life seems like may listen heart better judgment ive spouted unsolicited advice im going uh go hide bit,INFP
roommate girlfriend going elementary ed recently brought home book give mouse cookie remember loving book child rereading cant help feel like moral story give homeless people spare change,INFP
every small good deed good intention considered good act charity even something small removing potentially harmful object road giving extra piece cake someone need thats see thing anyway intention matter,INFP
hehe dont worry mom really really great person happens one person dont always get along opinion ive learned weed opinion get hard fact thing say really useful besides quite opinionated smartest woman know many way happy definitely piss quite bit time wouldnt trade anyone else wish would careful present opinion though hurt inside see brainwashed littlest brother thing sad theyre young understand point view absolute truth,INFP
respect mother listen heart time try find balance mother used give grief long time first love family understands,INFP
longer secretly keeping idea someone may keeping king influence fable iii choice tally making statistic decision people make considering government going digital era stereotypical kid dont think much day,INFP
ok random daydreaming ramble reading lyric without music enter sandman made lol hardhahahaha imagined reading poem bunch grade schoolers told written shakespeare say prayer little one dont forget son include everyone tuck warm within keep free sin til sandman come sleep one eye open gripping pillow tight exit light enter night take hand nevernever land somethings wrong shut light heavy thought tonight arent snow white dream war dream liar dream dragon fire thing bite yeah sleep one eye open gripping pillow tight exit light enter night take hand nevernever land lay sleep lay sleep pray lord soul keep pray lord soul keep die wake die wake pray lord soul take pray lord soul take hush little baby dont say word never mind noise heard beast bed closet head exit light enter night grain sand exit light enter night take hand nevernever land boo yeah yeah nevernever land take hand nevernever land take hand nevernever land nevernever land nevernever land,INFP
vlog random thought sorrrrrrrrrrrry,INFP
boyfriend serious conversation yesterday text lol said im putting platter laughed as didnt tell word looking pedestal platter would ruined flow conversation crazy,INFP
epiphany failure work progress roud,INFP
im glad came realize happy,INFP
sigh much intelligent people much thoughtful better read better overall educated etcetera spent rest life trying notice much tell others potential focused thing realize im plateau else new frustrating,INFP
know lot smart people actually struggle world think differently people around talent always appreciated there also problem high standard hard meet hope find somewhere talent appreciated,INFP
thread greyisnt grey supposed depressing color,INFP
know horribly arrogant sometimes despair cant always understand people eager accept anything le brilliant every way mean infp someone iq way high good want move mountain lifetime know cause major shift status quo change everything want best everything want influential immortal anyone glad time slack act stupid especially one could much better oh much wasted potential world much think one personality probably killed day due walloftextyrant,INFP
there interesting book called gifted adult might enjoy describes characteristic gifted people also describes coping strategy gifted people trying fit best world also give advice self actualized achieve full potential seems many similarity infp personality personality trait described book,INFP
sound interesting thanks,INFP
think virtue humbleness honest rather expanding part potential even though im sure measure every day im afraid becoming arrogant make lose sight whats important,INFP
bad ventrilois pc wonder theyve considered oovoo,INFP
grey awesomeee depressing color cant wait finish work todayso go home play birth sleep im loser know,INFP
completely love random thing completely love idea seem appear nowhere completely love embracing unknown completely love even idea love without word completely love flow dream never see barrier best deepest dream think go deeper lose darkness completely love crazy complexity seem simple outside completely love aha moment take another life,INFP
world spin little bit fast sometimes tell slow sometimes dang,INFP
manipulate reality symbol fit dream,INFP
almost reminds daymannightman episode always sunny philadelphia,INFP
sometimes wonder wouldve fared different time period wonder infps lowest percentage murderer including military kill mean baby bit bunch kid,INFP
sometimes stop talking due realization wouldnt make better im better leaving unsaid intent purpose ive dropped society succumbed ascetic,INFP
sentence describe imagine therefore studying division studying connection never much inspiration want inspired often,INFP
thinking many thought tonight thinking want get study back better tracki want better politics medium thinking improving relationship family also thinking better path overcoming broken hole went thinking change see change wanting see change come life day thinking ever inspire people enough see certain change thinking hope friend care know care much thinking exploring certain subject im able write greater passion thinking learning certain different interest people seem thinking abstract symbol seem mean much thinking career future house want id like child someday would ethical moderate fairthey would exposed idea small social justice kindness even early agei would teach humility important justice long runi would teach accept everything face value find justice heart id like future house full love id like know life changing lesson id like taste new food hadnt tasted id like explore new place discover everything,INFP
well got back deer hunting usual encountered several north american porcupine got thinking porcupine sex take one team play pain,INFP
word awesome meaning even amazing,INFP
always loved poem far star deep cave men mar make wave sky blue end make rainbow bend rain formed snow many question much know,INFP
ive thinking lot value humbleness religious personal perspective want yet want independent self determining humble time think without enough humbleness person far away spirituality person also lose sight important im trying get life without value anyway remember people need oftenmy best friend higher heart chakra mine frustrating wish compassionate giving empathetic let write thought inside sincerity humility dear mum dad thank giving food sheltering allowing sleep well night buying clothes giving education thank supporting since born dear im sorry betrayed multiple time still find way find light happiness near love photo im sorry youre feeling guilty youre giving space care lot thank youve done year dear friend thank protecting thank putting craziness im sorry ideal friend wanted dear people know online thank written word leave good impact growth even though effect little pray lord always protection,INFP
whenever meet people im always thinking might thinkingalso im vexed try decipher people intention,INFP
wish thing forum thread author could mark felt thread resolved unresolved little thread title would different color icon next tell want help solve thing sometimes would help quick way sure needed solving first yup,INFP
thats novel idea,INFP
wish site people could vote mbti letter function identify site would average opinion based outright asking test show dominant likely type based clicked button would break percentage geez lot intuitionthinking going today neti mode,INFP
yesi would love know people think wouldnt surprise often different reality personality type,INFP
looking old photograph wondering unknown person right moment,INFP
pizza coke midnight gotta stop eating late,INFP
hahaduring many time uk eaten pizza coke midnight even midnight crazy,INFP
almost died tonight glenwood avenue around north minneapolis im driving around curve right boyfriend house speed limit im coming around curve see headlight see he whipping around curve opposite direction he going probably manages avoid heard siren saw light nine police car followed didnt get yard apparently veered local park one swing everything drove leaving house andy say saw hed crashed three tree assuming he dead im waiting hear something news whats weirder think hadnt passing moment time maybe least wouldnt lost control wrong direction knowdied,INFP
almost died yesterday similar situation going around curve drop side road sudden semi coming right driving dead center road half lane get id either drive cliff crash headlong semi got lucky managed squeeze right two someone looking good driving get perfect like,INFP
one schadenfreude perhaps,INFP
today saw cool guy messing hairdo window car laughed inside knew hed never front friend felt bad amused dont think people hide really want like,INFP
want tell lot im thankful u emotional value oriented,INFP
black hole,INFP
want get old im going really cool old person like jane goodall margaret mead want quirky intelligent active cool even im yes think live mean shit generation woman family lived late hardy bitch real going crotchety old lady even start see horizon im going actively choose risky thing everyday life live moment hoping die young screw dont want persnickety old lady want live awesome dead,INFP
driving morning thinking many people probably upset frustrated irritated sad today gloomy overcast snowing people running late work everything else like letting outside circumstance world dictate feeling realized wasnt sideways backwards snow dark cloudy running late though could im always running late sideways backwards anything going last night morning anything like content still decided going content content generally happy want decided deserve im going let thing happen work home thing happened happen wont happen didnt happen interfering may part environment every bit influence amount influence influence upon im sure day difficult maintain others decided worth effort therefore find bliss force bliss whichever may every day idea made realize figure today hey wont complain,INFP
promise self swear use vision make change want someday,INFP
promise self,INFP
im considering sending high concept though bit subtle word long facebook love message girl infj think giving mixed signal though sometimes difficult see difference sky sea reality working heart might really like im still kind going crazy thought least trying something shes least shy dont see happening way im sure high concept way asking related something going right neither postpone decision im worried im failing see creepy actually ill really regret next class sit beside might also point regret anything oh anyone,INFP
take chance youll regret knowing could happy courage,INFP
everyone think leaf nuisance ever stopped look beautiful ground look covered crispy leaf,INFP
really always hated people say see glass half empty im pessimist nature idiot could tell glass half empty must also half full noticed reflects view balance pessimism optimism needed much either bad thing,INFP
im starting become pessimistic everyday,INFP
pick leaf raking run risk coming contact slug spider dont grudge creature im bit arachnophobic doesnt stop gazing fascination spider going whatever long doesnt suddenly turn around make way towards ack creep spider read scare hell suddenly come contact em ooooof course could take argument well dont pick pretty leaf id wholeheartedly support roud,INFP
dont think im going popular myyearbook im grounded maternal rather frivolous immature crazy,INFP
popularity school overrated hate popular real life stupid reason crazy consider bit insulting popular thing like friend look popular id rather highly intellectual reason inspire people towards greater good yayy maternal grounded,INFP
completely totally random need watch doctor lot great quote lesson sort epitomizes truly think world especially need watch th doctor episode david tennant yummy look example th doctor isnt shabby either rather awesome quote well,INFP
im one although find series little bit cheesy time love doctor although think prefer th doctor day liked th would talk fast come nearly godlike idea th softer le intense version element albert einstein character another hero mine,INFP
havent watched enough th doctor episode really get personality much roommate happen love david tennant tend watch rewatch episode personally think general series pretty brilliant even cheesiness make smile,INFP
sunday monday tuesday wednesday thursday friday saturday get sick cycle time day always bet made sense whatsoever lol,INFP
naw made perfect sense,INFP
know life isnt bad yeah suck majorly time good time always overcome bad,INFP
le gasp guess im sick cycle simply working case every monfri occasional case every weekend wish something different would happensomething interesting think need find friend lol,INFP
ya got nothing moment,INFP
raining im happy love falling asleep sound rain laughing ocean wave actually especially ocean wave thumb water making sound general little thing life happy,INFP
im reading obituary dead someone least read,INFP
shocked grandmother canceled greatgrandmothers funeral morning didnt feel well,INFP
couple random thought mine realize might seem bit random reason grown interest learning different culture throughout globe strange reason constantly spend second half lunch hour school library merely skim learn country physical appearance people nation addition high school like comparison sort tradition practice strangely enough also found debating whether even looked slightest bit italian spanish later found debtaing within mind well whether physical appearnace resemble cuban puerto rican happen ethnicity yet another random thought mine wish could stop obsessing hyuga hinatas character much basically posted likely strangest post ive ever created entire life speaking id drawn anime character added beside fun well think ive ruined reputation within website forever deemed hypersensitive hinamaniac term use describe huge fan character learned apologize well top infps even mentioning much within post well guess happen like character much cant help mentioning ever often although fact scare considering fictional likely thought sketched creator kishimoto masashi heh heh anyhow abandoning rather weird thought mine actually tried mongolian food father lunch today meanwhile grocery shopping earlier throughout midday basically fell love usually happen rather picky eater selective food eats cant stand red meat prawn alongside seafood even get started sausage bleh surprised foreign food id never even tasted past even capable tasting delicious quite randomly also ate steamed bamboo part meal actually thought within mind id likely make decent panda werent human due fact found bamboo tastylol also feel reason somehow never able say right thing particular situation people secretly feel though im sort alien comparison group loved one meant literal sense thus make even uncertain come social situation prevents ablke form many friensdships others within age groupthe joy introspective infp huh also wondering whwther may already posted past way whoever happens reading shaking head wondering odd person even joined site begin,INFP
empathizei often feel like cartoon character used watch ton anime past one character identified would probably alphonse fullmetal alchemist stuck strange looking body often misunderstood yet gentle strong needed dont worry reputation ruined laughing,INFP
wanted send thought really good guy right happy,INFP
spoilery thought feel like doctordonna like rose tyler looked time vortex like jenny doctor clone well mean feel like human time lord feel like reason struggle much life especially thing swarming around head im supposed exist,INFP
episode brutal emotion first rose scene donna fate think one hit harder tennants last episode end whole snow scene van gogh episode past season god show laughing far favorite donna noble moment though,INFP
often wonder get energy generator work properly get killed assassin working energy company would really destroy economy would usher new era mankind,INFP
exactly assassin come frustrating,INFP
guy guy get grape ketchup,INFP
sometimes get one mood next thing know youre asking world thinking,INFP
laughing genius think could popular bacon tube,INFP
ive always wanted say aura presence eye special never believe love day come lose hope understand love yes im intense romantic future husband better appreciate wink,INFP
certain view philosophy metaphysics religioni suspect express people going like think view merely comfort without realizing ive undergone experience thought process lead conclusion dry smirk im naive impressionable follower lying dont rely belief system comfort thats silly see paradox contradiction possible illusion bigger picture religious political minded value driven philosophical want way,INFP
luke cant tell squeez bacon would best worst thing worldim leaning towards worst also im going try month challenge give something every month december soda month january vegetarian month think im trying see beat challenge see life without certain vice,INFP
suddenly envision future daughter wouldcould like know silly right dont child would likely someone id shower lot love emotional attention id want come feeling depressed could hug lean without fear feeling insecure bullied people would tell find way gaining strength dealing thing would ask appreciate thing life like soulmate found cause felt justice important simple thing made happy life got complicated would ask feel ashamed loving caring people likely would great motherdaughter relationship future husband would love looking relationship would encourage u also push daughter make new venture relating education career wouldnt push hard would motivation came sincere place future husband would practical seem cold strict like istj hah would affectionate would touched giving wondering man could giving future daughter would someone felt emotion intensely ashamed learning would strong enough reaching others even going tough time would someone image would mind heart life force time would appreciate feeling course theyre reality yet dont know daughter came mind perhaps someday lord bless one ameen,INFP
send monkey pick movie guess movie picked preview monkey pick movie pick movie nobody want watch get play guessing game twice make people mad win win commentate throughout movie assign every person room character character speak character line act movie toy sometimes deviate actual movie watching particularly funny part rewind watch laugh obnoxiously every playing repeat someone steal remote block button player otherwise physically force stop grudgingly watch rest movie wishing able watch one funny part forever secretly looking opportunity rewind back,INFP
way like watch tv show im watching vaguely remind way better tv show probably got canceled like give character nickname watching sanctuary kept calling main character harry potter example even show like give thing nickname doctor retardis also mom shadow ne flickering right kinda nice kinda scary u,INFP
cant believe sperm,INFP
good one though mean beat million sperm become embryo one never experienced level success anything since kind disappointing really,INFP
mind devoid single idea write except one human microscope understanding delving deeper deeper alien realm subatomics quantum perhaps beyond realm could make learned man scratch head ignorant man cover ear fundamental true u whether counterintuitive nothingness well counterintuitive anyway million dancing pixy holding universe base pixel computer simulation wonder far go chasm soft sand bottom jagged rock bottom determined would either true bottom lay yet fundamental beneath man science man faith far rigid closed mind man nurtured world perception born imagination sens go perceive conceive lie true essential centre universe reach point knowledge becomes tested strained true seek turn away new alien knowledge challenge know cave embrace find become small fine u forge calculation theory would change effort understand case lie centre physic yes would detrimental way believed seperate yet ironically fundamental goal seek would lose process becoming ultimate example gaining everything losing everything maybe said human telescope tachyons become proven kind imparting knowledge superliminal world watch mock try somehow comprehend world beyond light fear comparable attempting comprehend colour weve never seen shape weve never conceived another note though give sad farewell izzie forum never youve retired unless lad one day come back course speculate reason leaving alone hope find happiness future future plan farewell,INFP
thinking one favorite topic sweet release death,INFP
seems another infp get divorce infidelity wife first tiger wood tony parker cheating eva longoria geez guy arent many u public eye make u look better tongue,INFP
oh stumbleupon love lol,INFP
perc addicting third night ive forum hour even though school tommorow,INFP
seems infps often feel guilt slight mistake imagine tiger wood feel epic string mistake,INFP
guilt doesnt make better though way harder atone kind thing,INFP
wouldnt even know begin,INFP
l g e r,INFP
dont know common im w strong side,INFP
watching neverending story first time since grade school never realized infp movie,INFP
maybe dreaming life figment people imagination world know constructed fantasy real dreamer walking slowly tightrope collective conscience,INFP
bee gee amazing,INFP
female cum like sprayed skunk scent lingers awhile thats hot sens day youre like wtf still cant seem get scent ive using deodorizing soap keep may actually use tomato paste,INFP
especially get nose,INFP
morning today woke fantasized love fictional lass holding talking sometimes fantasizeup person becomes kinda metafantasy fake person point theyre real generally try probably obvious depressing reason dry didnt stop time imagined telling wished genuinely real person mind feeling didnt respond depending imagined respond person freedom choose importantly leave glum fellow imagined might since creator technically stay short realized wasnt one wanted would inevitably leave thought came slightly disturbing realisation im creator sense akin father romantically quite awful matter would necessarily end imagined away living whatever kind life choose whether happy depressing impressive lowly free imagined proud happy would feel would freedom unfortunately way know remove control fantasy bestow genuine sentient freedom stop thinking anymore sad liberty oblivion hardly victory,INFP
cat think human big cat autism something dog total freak cat,INFP
paging think im lovewith jersey ishaha,INFP
think lad peterbreters conversation interesting say least tongue,INFP
here another jersey laughing,INFP
drop watch pick check working swear take three time longer usual second hand progress time slowed also drop something small floor tends go dont look though gaze sort attractive force,INFP
im getting tired people mechanical masturbation im perverted next person hate people talk like grocery list alright let see apple ground beef spaghetti im going make later chocolate milk hrmm think ill masturbate bit get home oh ya need asparagus think worst part always seem tell hey hot know sort emotional attachment person invoke way im talking female friend night shes like ya long day tomorrow think ill cum go bed many people go instant perk without much thought wonder many people bad lay,INFP
wtf infp meetup phoenix,INFP
older girl back kind hot ref infp mobile heading phoenix,INFP
week ago mom told older sister brother law separated first thing thought dont know happy couple none week idea soulmates big topic thinking almost obsessively point asked friend thought idea thought similar mine skeptical best told story someone know he extreme atheist doesnt even believe soul say wife soulmate friend said belief strange hear boyfriend seem perfect realistic whichbecause genuinesomehow meant younger sister found separation day ago depressed talking hard time older sister must going felt guilty told sad mostly selfish reason pretty much said everything thinking wondering happyin lovecouple even possible mentioning example couple know saying isnt sure want everything thinking wrote last night went sleep confused conflicted felt like something found didnt know something sometimes get caught idea forget like reality better screw happy love perfect idealistic couple would boring sane person would really want something like stepfordlike want danger want unpredictable want conflict drama change besides though couple know dont represent idealistic sort love always admired little quirk flaw thing make u human imperfectionsthey beautiful thing world getting caught want see dont overlook amilliontimesbetter thing thats right sure couple know arent perfect would never trade thinking realize imperfection reason like,INFP
thinking exact thing like hrm ill phoenix christmas reading post tongue,INFP
rockpaperscissors depending preference,INFP
dont shop target however new lady theyve got holiday shopping target commercial nucking futs mean wheel spinning waaaaaay fast aint going wheres shes got blond hair skinny look ish,INFP
someone invent doggie translator translates bark word,INFP
typically prefer pistol dawn suppose rockpaperscissors suffice,INFP
unexpected message day,INFP
christmas themed cigarette,INFP
laughing hahaha wonderful idea santa could new marlboro man advertisement rudolph smoking well could imagine elf huddling around taking smoke break making toy,INFP
mr claus supply smoke like oldtime cigarette add vintage overlay,INFP
random urge pet crab type life genitals hermit crab either aim blue one look like gladiator id name spartacus,INFP
make forum specifically two type get together chat dont feel like outsider try go intp forum,INFP
someone make business need frienddate go somewheresay prom wedding actual friend busy could rent one business however long need think,INFP
whenever anyone doesnt laugh joke tell inside joke get,INFP
believe referred escort arent already exist,INFP
would nice cloud drifting along without worry worldtongue,INFP
dammit good point,INFP
tv show theme rocked,INFP
kinda random every wondered weird cool term significant way define person mean world u least hopefully shoulddoes mean world u dont want matter significant insignificant especially since shortened make think soso im shrug soso life could better guess could worse maybe think thing much yeah still dont like term need come something call potentialsoulmates besides significant even boyfriend also doesnt seem carry enough weight mind person mean yeah im thinking thing waaaaaaay much especially one considers fact legally single le week anywho back regularly scheduled random thought idea,INFP
yeah married husband reason crazy really many year unmarried annoyed wasnt better term think time came heterosexual committed life partner cocat owner amuse bewilder others id happy say soulmate except people would look funny boot edit love avatar,INFP
thats brilliant love matter fact could completely see coming something similar simply fact would cause least one two laugh thank im lucky found image perfect portrayal im searching nod,INFP
wonder would get name something represents tattooed died today dont worry suicidal one question pondering think people would also unsure whether like,INFP
guy ever ponder life would like born opposite gender know name would jeremiah fascinated since found boot,INFP
havent given lot thought beyond thinking brother lucky parent hadnt able agree boy name born hadnt able agree girl name born wed nameless would james seems default boy name side family youve got wondering though would life like born boy mmt,INFP
cant call person love occasionally fuck,INFP
im quite impressed negative come across online may show everyone think im made candyfloss moonbeam,INFP
definitely figure id lot like husband actually except assume id still infp intp idea name would though,INFP
