comment,mbti_type
today came across individual took availability granted strength mine talk person many day row obliged liked enough let well felt took granted came time receptive strong feeling feeling met condescension form sarcasm foolish joking people posse emotional intelligence gain respect like section bookstore dedicated child get sit carpet area look like storybook perfect place daydream,INFJ
may get stickied keep seeing dress chloes spring line well killing want wear flowy dress summer elegant boho style really appeal think pull pretty well ah beautysigh,INFJ
think much selftalking mental soliloquy feel developed aspergerlike behaviour intrapersonal communication like vitamin supplement much indeed bad feeling lonely lately realised much blamed ive pulling deeper private world awareness dawned freak people,INFJ
oxycodone amazing oo,INFJ
hot,INFJ
random thought maybee random thought forever stamp make whatever stamp could used especially sending billspaymentsand etc random thought peace friendsuntil end,INFJ
omg wrong thread,INFJ
oppppsssss,INFJ
never cook anymore wonder pan lonely,INFJ
write long well thought letter,INFJ
thinking duck teeth wondered duck teeth would look like also made image head creepygosh weird,INFJ
oh,INFJ
lmao well one look nice one head lookcreepy,INFJ
cutecreepy lol,INFJ
letter thread,INFJ
let march,INFJ
want beer right corona would perfect,INFJ
champagne would nice,INFJ
andor using make mimosa sunday brunch,INFJ
tuxedod strawberry,INFJ
havent drank loooong time beer would wonder right,INFJ
havent either like would really like one,INFJ
well cheer,INFJ
anyone ever contemplate difference similarity mantlepiece mental peace intruiging isnt put clock mental peace found mantlepiece meditation,INFJ
interesting epiphany ill try mentally playing around mantelpiece meditative time,INFJ
coffee cigarette get,INFJ
coffee quite okay cigs oh neeeewwwhh,INFJ
im craving pecan icecream im also feeling lazy go walgreens buy sigh,INFJ
like effectively brain interestingrandomthought deterrent whenever easily access thread otherwise open season evidently,INFJ
grocery list milk bust onion one red pepper cake,INFJ
want join nao,INFJ
wish telepathy invented would make communication much easier moment ago felt like totally rewrite brain verbally express something returned felt really alien foreign took regain focus whole scenario showed using language radically different way usually think,INFJ
quote day courtesy intj sister venting dont care chop right hand win win love princess,INFJ
literature british isle manage sublimely utterly bittersweetly depressing iain bank,INFJ
anytime forum member mood horny giggle get see pacmen hump try hump,INFJ
wonder world would change everyone started day hug someone else,INFJ
im setting mood horny,INFJ
lmao jk thread trying post,INFJ
cant remember one super deep like mad deep introspective p,INFJ
haha set mood horny seems like new thing everyones jones effect itll funny sense urgency dont message might meaningless fear loss mean indifference sell idea,INFJ
must stop looking people perc mood,INFJ
smack teeth youre daring enough change mood jk,INFJ
oh yeahwink,INFJ
bah look mood changed,INFJ
idea new cereal cran christ cranberry mixed healthy amount host start day holy way cran christ shadow offended think mended slumberd vision appear,INFJ
build campfire youre charged arson firewood might eventually house,INFJ
sometimes im bored lay carpet pretend im carrot,INFJ
true test character isnt best daysits worst day,INFJ
sometimes earphone people talk pretend dont listen really want stay warm happy inner world feel guilty ignored people say sorry say smile,INFJ
wish eating spaghetti right sure morning cant put timerelated stipulation pure deliciousness right,INFJ
prefer perc fb easy going back fb anymore,INFJ
random mere thought halfhuman halfcarrot figure lying carpet make laugh thank,INFJ
dont look like big pea,INFJ
like idea incidentally ive long standing fantasy regarding world would like somehow one day everything normal stopped everyone planet least everyone position power administered significant dosage lsd mushroom consciousness expanding substance forced step outside ego interact world freer manner something like huxley experience door perception participated everyone happy im hippie drug taken chronically like grateful dead though,INFJ
saw tutor typing realised onefinger typer thought really cute,INFJ
totally need needlepoint pillow,INFJ
morning dude,INFJ
animal eg bird squirrel age like human rarely see dead animal lying ground see look attacked another animal hit car bird sleep night stay awake throughout whole night sitting branch dont think fly around much night hear early morning around bird call think trying locate people compassion goose seven baby crossing street human cross walk care impatient make right turn yeah three car behind see little man light mean go mind take pedestrian wait middle street royalty zoom,INFJ
makeup commercial confuse see woman wearing deep purple lipstick hell wear purple lipstick sure model runway probably lady gaga never seen woman real world wearing color lip unless halloween wearing purple lipstick leopard print dress office get tacky as fired purple eyeshadow okay get long dont go overboard like woman saw clearly bought one almay make eye color pop kit thick purple green eyeshadow eye understand effect going pop eye color completely overshadowed pun totally intended fact looked like joker wonder didnt notice put morning,INFJ
often come across think case shouldve dont think really annoying kind hmmmmm,INFJ
sex,INFJ
people hold penpencil using index finger middle finger,INFJ
people get offended thing like instead actually understanding person really saying let hang onto key word taboo get stuck get offended instead fun stuff language fail,INFJ
jack white interviewed stephen colbert funny jack white wudda thunk,INFJ
doesnt really matter merely pooped existence someday leave trace left behind oh cosmos really go eh haha mental picture begin,INFJ
well put especially pooped part anyway back topic funny talking folk high hoot,INFJ
insensitive press handicapped door opener button youre lazy dont feel like lifting arm,INFJ
going hell think take moment silence honour poor generation inxxs live internet,INFJ
british french woman seriously factor come personal style,INFJ
took walk today started raining sorta let mind wander however matter going kept getting damn hair wet wow shoe soggy enjoyable walk albeit tad wet,INFJ
poop funniest place possible would either ceiling fan b somebody dryer c somebody furnace somebody garbage disposal,INFJ
nvm,INFJ
please sticky thread love word vintage word day thank goodness bit lycraspandex skinny jean,INFJ
need hobby adslkjasdaslkdjasldkjasdlkaj,INFJ
retake cogfxns test every check spread lol wonder none test ever conclusively type guess im pretty clearly sdom though lol,INFJ
told friend lot calorie oxygen stopped breathing second,INFJ
know day thinking unusual hobby partake maybe create thread get suggestion im glad share one far enjoy happy,INFJ
tempting think ill inform local police tomorrow day,INFJ
lot dessert funny name fritter strudel custard im sure there,INFJ
neither comparison taken seriously curious see infjs similar experience one occasion girl freshman floor admitted first met thought antichrist something later college friend grandmother compared jesus edit quite counterintuitive,INFJ
thread seems appropriate unstoppable would hulk use juggernaut blunt object dual wields thing wait strap thing back awesome armor could use thelike nunchuku hrmoruse blob reflectortype shield one handcould ride silver surfer board ride swinging like thor swing mjolnir thatd sweet also,INFJ
could translate dc,INFJ
dc hrm need dc motherfking flash,INFJ
everything political,INFJ
know finally made account still feel like outsider xd gyrating hilarious word,INFJ
many random thought day cant think random thought thread count random thought,INFJ
randomly thought making thread last night wanted ask deepest thought guy realized someone probably random thought thread figured would actually decided make,INFJ
time last yeari bigger mess angry blushed sad crazy wonderful year kitteh roud happy still much go though dry,INFJ
crush love interest ex weird sometimes occupy thought sing head song stuck head e e lookin outta dirrty ole windoe carzin city go rushing seet ere alone wunder whaiiii,INFJ
meal lunch dinner brunch meal breakfast lunch case breakfast lunch chronological keeping assumption amalgamation eating occurences created based upon chronology meal lunch dinner linner feel dunch better word phonetically linner feel better care preference honestly word definition based upon consensus whole individual make decision see definition catch society dunch meal existing approximately pm pm one take part meal likely mean forgotten eat lunch hungry wait dinner forced eat late dinner oh maybe thats linner,INFJ
random thought empathize single mother alone struggle routine task hope week go smoothly clerk cancel appointment friday renew clinic card scheduled day would need retreat week cannot charade week put post venting thread capital one insist paying credit card charge charge told car look video camera shell gas station day would see face time video file police report anyone even bother investigate fraud hope pas section work key test thursday could use wia scholarship get payroll accounting get knocked within month two could possibly kid around th birthday would neat,INFJ
think therefore one unbreakable truth technically must afterlife die lose thought technically universe would cease exist impossible seeing already would happened possibility therefore living plato cave called existance ruled boundary cannot even begin question beyond comprehension die must retain thought otherwise truly impossible would happen would nothing cant without,INFJ
always amazed much one learn short space time man short space time quite cool phrase,INFJ
saw friend new profile photoit felt great heart lept joy,INFJ
infatuated wanting dress animal costume go day normal even better drive around gorilla suit,INFJ
im going release new movie called braining brain,INFJ
two word benedict cumberbatch bit anglophile anyway im happy sister finally admitted one,INFJ
opening scene two tower ridiculously awesome,INFJ
pterophyte pterophyte pterophyte seriously love way word feel fern neat,INFJ
id like sit atop freeway exit sign wave car pas sipping iced coffee better friend partaking random seemingly fun activity freeway exit sign carry weight sure thought,INFJ
ive actually done something like friend car ran gas entirely end onramp luckily able push onto remainder dividing island wait fetched gas like minute amused mostly waving gawking motorist passing u satisfactorily fun didnt iced coffee though dry,INFJ
holy crap thread still alive head bomb whose explosive level depended level frustration mad enough make negative comment cause nearby wall charred half u would crater self observation shown much coffee different effect emotion felt strength emotion physical energy level mental state mental stability depending much,INFJ
know big black glass hipster trend im seriously love want pair,INFJ
